iter	Passed	Remaining
0	465	232254
1	847	211012
2	1261	208924
3	1757	217907
4	2169	214753
5	2586	212969
6	2974	209457
7	3284	201977
8	3804	207536
9	4294	210415
10	4821	214317
11	5241	213141
12	5629	210888
13	6067	210625
14	6512	210555
15	6998	211708
16	7355	208970
17	7799	208845
18	8368	211850
19	8761	210279
20	9224	210407
21	9632	209285
22	10070	208847
23	10490	208069
24	10931	207694
25	11474	209181
26	11866	207877
27	12233	206222
28	12577	204277
29	13007	203791
30	13465	203721
31	13887	203104
32	14305	202437
33	14618	200366
34	14867	197530
35	15214	196095
36	15630	195591
37	15999	194516
38	16231	191868
39	16485	189584
40	16724	187236
41	17043	185854
42	17291	183775
43	17568	182078
44	17840	180384
45	18113	178769
46	18435	177684
47	18725	176328
48	19053	175366
49	19393	174544
50	19627	172798
51	19848	171001
52	20098	169506
53	20369	168239
54	20677	167297
55	20938	166014
56	21232	165015
57	21469	163613
58	21702	162216
59	21963	161068
60	22200	159771
61	22449	158597
62	22693	157411
63	22933	156231
64	23240	155532
65	23545	154826
66	23866	154242
67	24115	153205
68	24360	152163
69	24606	151152
70	24840	150089
71	25069	149023
72	25281	147876
73	25509	146853
74	25747	145899
75	25995	145026
76	26268	144306
77	26563	143716
78	26818	142918
79	27045	141988
80	27301	141225
81	27510	140237
82	27740	139370
83	27958	138460
84	28188	137626
85	28422	136822
86	28675	136125
87	28902	135315
88	29121	134482
89	29344	133681
90	29590	132995
91	29819	132243
92	30058	131548
93	30284	130802
94	30514	130086
95	30821	129707
96	31065	129067
97	31272	128279
98	31494	127569
99	31709	126837
100	31963	126270
101	32199	125641
102	32416	124945
103	32628	124238
104	32845	123563
105	33077	122948
106	33289	122269
107	33494	121574
108	33702	120897
109	33926	120285
110	34213	119901
111	34480	119451
112	34729	118941
113	34958	118369
114	35200	117845
115	35454	117366
116	35692	116840
117	35943	116360
118	36174	115817
119	36467	115481
120	36730	115049
121	36992	114615
122	37233	114120
123	37479	113646
124	37713	113140
125	37996	112782
126	38260	112370
127	38503	111899
128	38736	111403
129	38981	110947
130	39222	110480
131	39453	109991
132	39689	109517
133	39919	109034
134	40158	108576
135	40443	108246
136	40705	107855
137	40949	107417
138	41201	107004
139	41448	106582
140	41686	106138
141	41923	105694
142	42132	105183
143	42350	104699
144	42634	104380
145	42899	104016
146	43168	103663
147	43418	103266
148	43669	102871
149	43899	102431
150	44134	102005
151	44364	101570
152	44603	101158
153	44827	100715
154	45028	100223
155	45255	99794
156	45548	99510
157	45766	99064
158	46004	98662
159	46264	98311
160	46487	97883
161	46712	97461
162	46934	97035
163	47139	96579
164	47348	96131
165	47560	95693
166	47799	95312
167	48011	94880
168	48231	94465
169	48454	94059
170	48674	93647
171	48889	93230
172	49094	92796
173	49310	92386
174	49523	91971
175	49739	91566
176	49969	91186
177	50232	90870
178	50498	90557
179	50721	90172
180	50980	89849
181	51220	89494
182	51484	89182
183	51720	88824
184	51939	88438
185	52170	88073
186	52440	87775
187	52712	87480
188	52947	87124
189	53181	86769
190	53422	86426
191	53679	86110
192	53938	85798
193	54202	85494
194	54452	85168
195	54699	84840
196	54936	84496
197	55177	84159
198	55445	83864
199	55729	83593
200	55956	83239
201	56203	82914
202	56484	82639
203	56768	82370
204	57013	82043
205	57259	81719
206	57494	81381
207	57719	81028
208	57956	80694
209	58199	80370
210	58439	80043
211	58690	79730
212	58919	79389
213	59190	79104
214	59441	78794
215	59731	78535
216	60072	78343
217	60389	78118
218	60700	77885
219	61014	77654
220	61290	77376
221	61801	77391
222	62099	77137
223	62315	76781
224	62533	76429
225	62885	76241
226	63095	75880
227	63313	75532
228	63526	75177
229	63766	74855
